condition,seed,numerator,denominator,commit_delta,commit_delta_defined,complete,successful,total_ms_delta,total_ms_delta_defined,total_ms_ratio,total_ms_ratio_defined,validator_rate_ratio,validator_rate_ratio_defined
main-l3-n40-uniform-k1,101,paper,adaptive,0,3,True,3,-0.026267,3,0.6572498564643249,3,1.521491393515853,3
main-l3-n40-zipf-k1,11,adaptive,accept_id,1,3,True,3,0.09617,3,2.907037617244046,3,0.35894900522780715,3
main-l3-n40-zipf-k1,11,adaptive,accept_static_degree,0,3,True,3,0.009760000000000019,3,1.0713246954450122,3,0.9334238296304885,3
main-l3-n40-zipf-k1,11,graph,adaptive,0,3,True,3,-0.043643,3,0.7022967414511695,3,1.4238995298962664,3
main-l3-n40-zipf-k1,11,paper,adaptive,0,3,True,3,-0.068967,3,0.5285887173825347,3,1.8918300128534702,3
main-l3-n40-zipf-k1,29,adaptive,accept_id,0,3,True,3,0.09555,3,2.8903199002908186,3,0.3459824637056202,3
main-l3-n40-zipf-k1,29,adaptive,accept_static_degree,0,3,True,3,0.010523000000000005,3,1.078309532137196,3,0.9273775017253278,3
main-l3-n40-zipf-k1,29,graph,adaptive,0,3,True,3,-0.04495600000000001,3,0.6922866314845616,3,1.4444883874986407,3
main-l3-n40-zipf-k1,29,paper,adaptive,0,3,True,3,-0.066445,3,0.5414423740510697,3,1.8469186157670003,3
main-l3-n40-zipf-k1,47,adaptive,accept_id,0,3,True,3,0.09537300000000001,3,2.769574736529613,3,0.36106626292130317,3
main-l3-n40-zipf-k1,47,adaptive,accept_static_degree,0,3,True,3,0.009272000000000002,3,1.0661449453191323,3,0.9379587685431151,3
main-l3-n40-zipf-k1,47,graph,adaptive,0,3,True,3,-0.042144,3,0.718004135189931,3,1.3927496388798284,3
main-l3-n40-zipf-k1,47,paper,adaptive,0,3,True,3,-0.064995,3,0.5651024764300865,3,1.769590546332915,3
main-l3-n40-zipf-k1,71,adaptive,accept_id,2,3,True,3,0.101501,3,3.03132004482869,3,0.36869978830845995,3
main-l3-n40-zipf-k1,71,adaptive,accept_static_degree,0,3,True,3,0.01567200000000002,3,1.1163673084491044,3,0.8957625258565071,3
main-l3-n40-zipf-k1,71,graph,adaptive,0,3,True,3,-0.04071300000000001,3,0.7292100379783037,3,1.3713470028092962,3
main-l3-n40-zipf-k1,71,paper,adaptive,0,3,True,3,-0.06564600000000001,3,0.563375878788685,3,1.7750138719998112,3
main-l3-n40-zipf-k1,101,adaptive,accept_id,1,3,True,3,0.099276,3,2.9248903176239867,3,0.3608872268458355,3
main-l3-n40-zipf-k1,101,adaptive,accept_static_degree,0,3,True,3,0.013586000000000015,3,1.0983601809954753,3,0.9104481547152151,3
main-l3-n40-zipf-k1,101,graph,adaptive,0,3,True,3,-0.04433200000000001,3,0.7077865151505164,3,1.4128554000316638,3
main-l3-n40-zipf-k1,101,paper,adaptive,0,3,True,3,-0.06558800000000001,3,0.5676780193921337,3,1.7615619520917758,3
main-l4-n40-uniform-k1,11,adaptive,accept_id,0,3,True,3,0.055053,3,1.9040792196275496,3,0.5251882325545293,3
main-l4-n40-uniform-k1,11,adaptive,accept_static_degree,0,3,True,3,-0.133206,3,0.47271669299006047,3,2.115431959203155,3
