condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l2-n40-uniform-k1,29,adaptive,39,True,3,1,2036,3,0.055222,706240.2665604288
main-l2-n40-uniform-k1,29,graph,39,True,3,1,2004,3,0.061533,633806.2503047145
main-l2-n40-uniform-k1,29,lazy,39,True,3,1,1992,3,0.055638,700959.7756928718
main-l2-n40-uniform-k1,29,paper,39,True,3,1,1992,3,0.039339,991382.5974224053
main-l2-n40-uniform-k1,29,profile,39,True,3,1,1980,3,0.067738,575747.7339159703
main-l2-n40-uniform-k1,47,accept_id,39,True,3,1,2000,3,0.044043,885498.2630610995
main-l2-n40-uniform-k1,47,accept_static_degree,39,True,3,1,1988,3,0.053844,724314.6868731892
main-l2-n40-uniform-k1,47,adaptive,39,True,3,1,1988,3,0.053973,722583.5139792118
main-l2-n40-uniform-k1,47,graph,39,True,3,1,2036,3,0.056518,690045.6491737146
main-l2-n40-uniform-k1,47,lazy,39,True,3,1,1996,3,0.054519,715346.9432674848
main-l2-n40-uniform-k1,47,paper,39,True,3,1,1996,3,0.039343,991281.8036245329
main-l2-n40-uniform-k1,47,profile,39,True,3,1,2020,3,0.067584,577059.6590909091
main-l2-n40-uniform-k1,71,accept_id,40,True,3,0,1988,3,0.046736,855871.2769599452
main-l2-n40-uniform-k1,71,accept_static_degree,40,True,3,0,1992,3,0.051181,781540.0246185109
main-l2-n40-uniform-k1,71,adaptive,40,True,3,0,2004,3,0.047514,841857.1368438776
main-l2-n40-uniform-k1,71,graph,40,True,3,0,1980,3,0.046975,851516.7642362958
main-l2-n40-uniform-k1,71,lazy,40,True,3,0,1992,3,0.047598,840371.4441783268
main-l2-n40-uniform-k1,71,paper,40,True,3,0,2016,3,0.03746,1067805.6593699947
main-l2-n40-uniform-k1,71,profile,40,True,3,0,1992,3,0.049176,813404.9129656743
main-l2-n40-uniform-k1,101,accept_id,39,True,3,1,2000,3,0.045942,848896.4346349746
main-l2-n40-uniform-k1,101,accept_static_degree,39,True,3,1,1980,3,0.053725,725919.0321079572
main-l2-n40-uniform-k1,101,adaptive,39,True,3,1,1996,3,0.054011,722075.1328433097
main-l2-n40-uniform-k1,101,graph,39,True,3,1,2008,3,0.058366,668197.2381180824
main-l2-n40-uniform-k1,101,lazy,39,True,3,1,2076,3,0.052208,747011.9521912351
main-l2-n40-uniform-k1,101,paper,39,True,3,1,2000,3,0.038692,1007960.3018711879
main-l2-n40-uniform-k1,101,profile,39,True,3,1,2020,3,0.066655,585102.3929187608
main-l2-n40-zipf-k1,11,accept_id,26,True,3,14,2012,3,0.044345,586311.8728154245
main-l2-n40-zipf-k1,11,accept_static_degree,26,True,3,14,1988,3,0.055705,466744.4574095683
main-l2-n40-zipf-k1,11,adaptive,26,True,3,14,2040,3,0.087129,298408.10751873656
main-l2-n40-zipf-k1,11,graph,26,True,3,14,2016,3,0.078494,331235.50844650547
main-l2-n40-zipf-k1,11,lazy,26,True,3,14,2004,3,0.086789,299577.1353512542
main-l2-n40-zipf-k1,11,paper,26,True,3,14,1976,3,0.059329,438234.253063426
main-l2-n40-zipf-k1,11,profile,26,True,3,14,2000,3,0.106959,243083.79846483233
main-l2-n40-zipf-k1,29,accept_id,25,True,3,15,1980,3,0.046673,535641.5914982967
main-l2-n40-zipf-k1,29,accept_static_degree,26,True,3,14,2012,3,0.056206,462584.06575810415
main-l2-n40-zipf-k1,29,adaptive,26,True,3,14,2016,3,0.088559,293589.58434490004
main-l2-n40-zipf-k1,29,graph,26,True,3,14,2016,3,0.076228,341082.017106575
main-l2-n40-zipf-k1,29,lazy,26,True,3,14,2004,3,0.084913,306195.7533004369
main-l2-n40-zipf-k1,29,paper,26,True,3,14,1988,3,0.058396,445235.97506678535
