condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-eas_k1_adaptive,122,6,0.312706,0.158619,390142.817854,0.00256316393443,8040,8040,0.12461,0.029293,0.094995,0.122676,0.028301,0.017794,0,0.018486,0.002926,12,30,36,0,0,0,0,17,0,0,0,768,0,0,0,0,0,6976,0.094995,0.015925,0.015003,0.002541,0,0.005686,0.057076,0.158619,0,0,0,0,5
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-native,122,6,0.164555,0,741393.455076,0.00134881147541,8196,8196,0.127036,0.037366,0,0.125221,0.03649,0.017629,0.007297,0.014383,0.002691,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-accept_static_degree,122,6,0.325642,0.163289,374644.548308,0.00266919672131,8228,8228,0.129991,0.032246,0.100106,0.12842,0.031242,0.017707,0,0.01823,0.002575,0,378,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048,0.100106,0,0,0.006473,0,0.002712,0.056511,0.163289,0.017213,0.004857,128,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-eas_k2_adaptive,122,6,0.3266,0.161377,373545.621555,0.00267704918033,8324,8324,0.13204,0.033073,0.097554,0.130299,0.032049,0.018185,0,0.021497,0.002765,12,30,36,0,0,0,0,16,0,0,0,768,0,0,0,0,0,6976,0.097554,0.015998,0.014815,0.002818,0,0.005786,0.057196,0.161377,0,0,0,0,4
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-accept_id,122,6,0.286613,0.133967,425661.083063,0.00234928688525,8076,8076,0.123504,0.029027,0.095005,0.121549,0.027839,0.017424,0,0.018206,0.003143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095005,0,0,0.004104,0,0.00303,0.032478,0.133967,0,0.000185,0,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-eas_k1_adaptive,122,6,0.322402,0.166258,378409.563216,0.00264263934426,7908,7908,0.1265,0.029502,0.101359,0.124768,0.028009,0.018485,0,0.01825,0.003225,12,30,36,0,0,0,0,17,0,0,0,768,0,0,0,0,0,6976,0.101359,0.016323,0.014959,0.003197,0,0.005796,0.058322,0.166258,0,0,0,0,5
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-native,122,6,0.16017,0,761690.703627,0.00131286885246,8080,8080,0.121942,0.038084,0,0.120046,0.036639,0.017896,0.007543,0.014524,0.003341,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-eas_k2_adaptive,122,6,0.320582,0.164125,380557.860391,0.00262772131148,8120,8120,0.124565,0.031795,0.098869,0.123021,0.030466,0.01772,0,0.020898,0.002873,12,30,36,0,0,0,0,16,0,0,0,768,0,0,0,0,0,6976,0.098869,0.016745,0.015137,0.002747,0,0.005823,0.058639,0.164125,0,0,0,0,4
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-accept_id,122,6,0.293685,0.137378,415411.069684,0.00240725409836,8196,8196,0.125793,0.030417,0.098777,0.124094,0.02897,0.017913,0,0.019364,0.003146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098777,0,0,0.004056,0,0.003019,0.031602,0.137378,0,0.000178,0,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-accept_static_degree,122,6,0.321553,0.163636,379408.682239,0.00263568032787,8200,8200,0.126524,0.031288,0.101329,0.124594,0.030104,0.017505,0,0.020797,0.003114,0,378,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048,0.101329,0,0,0.00628,0,0.002717,0.055849,0.163636,0.017637,0.004662,128,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,3,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r3-measure-eas_k1_adaptive,122,6,0.318644,0.158137,382872.421888,0.00261183606557,7952,7952,0.128098,0.032204,0.095291,0.12635,0.030902,0.017534,0,0.021401,0.00305,12,30,36,0,0,0,0,17,0,0,0,768,0,0,0,0,0,6976,0.095291,0.015576,0.014877,0.002686,0,0.00563,0.056182,0.158137,0,0,0,0,5
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,3,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r3-measure-accept_static_degree,122,6,0.30914,0.156576,394643.203726,0.00253393442623,8004,8004,0.120881,0.031595,0.096188,0.119219,0.03053,0.017561,0,0.020886,0.002727,0,378,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048,0.096188,0,0,0.006405,0,0.002569,0.053766,0.156576,0.016773,0.004422,128,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,3,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r3-measure-eas_k2_adaptive,122,6,0.313679,0.158108,388932.634955,0.00257113934426,8044,8044,0.124194,0.03127,0.094984,0.122413,0.029909,0.017694,0,0.020409,0.003142,12,30,36,0,0,0,0,16,0,0,0,768,0,0,0,0,0,6976,0.094984,0.0163,0.01473,0.002812,0,0.00564,0.056613,0.158108,0,0,0,0,4
