condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.014327999999999952,1,288984.8604042577,298804.0722726421,0.9671382930168874
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.014327999999999952,10,79344.63847497087,80067.05297960641,0.9909773811105607
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.014327999999999952,100,9612.443812023626,9622.962404536967,0.998906927817947
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.014327999999999952,1000,982.011964662315,982.1216369962914,0.9998883312108755
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.008569000000000049,0,409078.95548506704,398006.1785721054,1.0278206156313616
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.008569000000000049,0.1,392757.0610550203,382539.2102690526,1.0267105972712736
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.008569000000000049,1,288984.8604042577,283414.8338424303,1.0196532640381277
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.008569000000000049,10,79344.63847497087,78918.78755688728,1.0053960651356513
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.008569000000000049,100,9612.443812023626,9606.164046750608,1.0006537224684542
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.008569000000000049,1000,982.011964662315,981.9463857585106,1.0000667846073426
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.010301999999999978,0,414496.86331143515,429036.94825337693,0.9661099469378222
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.010301999999999978,0.1,397748.61656086345,411118.47063928924,0.9674793154935714
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.010301999999999978,1,291678.14474180696,298804.0722726421,0.9761518393084913
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.010301999999999978,10,79546.30826214676,80067.05297960641,0.9934961423197094
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.010301999999999978,100,9615.397089571925,9622.962404536967,0.9992138268189144
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.010301999999999978,1000,982.0427788278405,982.1216369962914,0.9999197063118453
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.012595000000000023,0,414496.86331143515,398006.1785721054,1.041433238042917
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.012595000000000023,0.1,397748.61656086345,382539.2102690526,1.039759077980826
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.012595000000000023,1,291678.14474180696,283414.8338424303,1.0291562399446275
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.012595000000000023,10,79546.30826214676,78918.78755688728,1.0079514742266806
