condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,2,native,ok,0,0.12671100000000002,0.137244,0.5685420575386219,0.0,0.5685420575381843,126,126,0.16697,0.293681,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,2,accept_static_degree,ok,0,-0.022897,-0.022236000000000006,1.0779655476520442,1.1620180117163592,1.0779655476513827,126,126,0.316578,0.293681,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,native,ok,0,0.14103899999999997,0.152171,0.5420945491852511,0.0,0.5420945491852214,126,126,0.16697,0.308009,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,accept_id,ok,0,0.014327999999999952,0.014926999999999996,0.9534818787762697,0.901906407922666,0.9534818787769511,126,126,0.293681,0.308009,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,accept_static_degree,ok,0,-0.008569000000000049,-0.00730900000000001,1.0278206156313616,1.04803149088854,1.0278206156314653,126,126,0.316578,0.308009,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,2,accept_id,ok,0,-0.12671100000000002,-0.137244,1.7588848296101096,,1.7588848296114632,126,126,0.293681,0.16697,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,2,accept_static_degree,ok,0,-0.14960800000000002,-0.15948,1.8960172486075344,,1.8960172486078297,126,126,0.316578,0.16697,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,2,native,ok,0,0.14960800000000002,0.15948,0.52742136219194,0.0,0.5274213621918579,126,126,0.16697,0.316578,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,2,accept_id,ok,0,0.022897,0.022236000000000006,0.9276734327717024,0.8605718585402558,0.9276734327722718,126,126,0.293681,0.316578,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,native,ok,0,0.137013,0.148756,0.5492741370405582,0.0,0.5492741370400415,126,126,0.16697,0.303983,baseline_dominates
