condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,metric,expected_repeats,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,commit_count,3,3,126,126,126,126.0,126.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,abort_count,3,3,2,2,2,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,batch_ms,3,3,0.29196,0.285368,0.298185,0.28866400000000003,0.29507249999999996,0.006408499999999928
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_ms,3,3,0.137115,0.13344,0.140811,0.1352775,0.138963,0.003685500000000008
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,effective_commits_per_second,3,3,431565.967941,422556.466623,441535.14059,427061.217282,436550.55426550005,9489.336983500049
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,ms_per_commit,3,3,0.00231714285714,0.00226482539683,0.00236654761905,0.002290984126985,0.002341845238095,5.086111110999981e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,peak_rss_kib,3,3,8180,8120,8184,8150.0,8182.0,32.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,runner_peak_rss_kib,3,3,8180,8120,8184,8150.0,8182.0,32.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,read_wall_ms,3,3,0.122802,0.122137,0.127584,0.1224695,0.125193,0.0027235000000000037
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,commit_wall_ms,3,3,0.029528,0.029022,0.032623,0.029275,0.0310755,0.0018005
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,extract_ms,3,3,0.098023,0.095455,0.102848,0.09673899999999999,0.1004355,0.0036965000000000053
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,read_worker_ms,3,3,0.121038,0.119927,0.125349,0.1204825,0.1231935,0.002710999999999991
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,commit_worker_ms,3,3,0.028147,0.0277,0.031292,0.027923499999999997,0.0297195,0.0017960000000000025
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,reservation_worker_ms,3,3,0.017794,0.01761,0.01843,0.017702000000000002,0.018112,0.00040999999999999717
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,dependency_worker_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,apply_worker_ms,3,3,0.018233,0.017995,0.021719,0.018113999999999998,0.019976,0.0018620000000000025
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,sync_wait_ms,3,3,0.003541,0.003086,0.003616,0.0033135,0.0035785,0.00026500000000000004
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_B,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_acceptance_key_visits,3,3,506,506,506,506.0,506.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_build_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_certificate_ms,3,3,0.00312,0.00283,0.003137,0.002975,0.0031285,0.0001535
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_count_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_degree_queries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_degree_requeries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_graph_bytes,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_heavy_subsets,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_heavy_updates,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_incidences,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_index_payload_bytes,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_initial_core_size,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_initial_degree_evaluations,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_kernel_ms,3,3,0.031434,0.031408,0.031593,0.031421,0.0315135,9.25000000000023e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_light_scans,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_normalize_ms,3,3,0.098023,0.095455,0.102848,0.09673899999999999,0.1004355,0.0036965000000000053
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_profile_links,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_profiles,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_select_ms,3,3,0.003972,0.003971,0.004034,0.003971499999999999,0.004003,3.150000000000028e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_sort_ms,3,3,0.0002,0.000182,0.000276,0.000191,0.00023799999999999998,4.699999999999998e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_subsets,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switch_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switch_queries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switch_remaining,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switch_round,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switches,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_total_ms,3,3,0.137115,0.13344,0.140811,0.1352775,0.138963,0.003685500000000008
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_tree_updates,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_trim_key_visits,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_trim_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,commit_count,3,3,124,124,124,124.0,124.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,abort_count,3,3,4,4,4,4.0,4.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,batch_ms,3,3,0.306071,0.303121,0.308221,0.304596,0.30714600000000003,0.0025500000000000522
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_ms,3,3,0.150468,0.14907,0.152304,0.14976899999999999,0.151386,0.0016170000000000073
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,effective_commits_per_second,3,3,405134.756315,402308.733019,409077.563085,403721.744667,407106.15969999996,3384.4150329999393
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,ms_per_commit,3,3,0.00246831451613,0.00244452419355,0.00248565322581,0.00245641935484,0.00247698387097,2.056451613000011e-05
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,peak_rss_kib,3,3,8212,8196,8256,8204.0,8234.0,30.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,runner_peak_rss_kib,3,3,8212,8196,8256,8204.0,8234.0,30.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,read_wall_ms,3,3,0.126078,0.125876,0.126193,0.125977,0.1261355,0.00015850000000000586
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,commit_wall_ms,3,3,0.028042,0.027483,0.031582,0.027762500000000002,0.029811999999999998,0.0020494999999999958
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,extract_ms,3,3,0.096686,0.095111,0.098999,0.0958985,0.0978425,0.0019440000000000013
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,read_worker_ms,3,3,0.124251,0.124068,0.124406,0.1241595,0.12432850000000001,0.00016900000000000248
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,commit_worker_ms,3,3,0.026671,0.026262,0.03036,0.0264665,0.0285155,0.0020489999999999987
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,reservation_worker_ms,3,3,0.017783,0.017669,0.018123,0.017726,0.017953,0.0002270000000000015
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,dependency_worker_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,apply_worker_ms,3,3,0.01716,0.016747,0.020983,0.016953500000000003,0.0190715,0.0021179999999999984
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,sync_wait_ms,3,3,0.003008,0.002996,0.003232,0.003002,0.00312,0.00011800000000000005
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_B,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_acceptance_key_visits,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_build_ms,3,3,0.008983,0.008834,0.009865,0.0089085,0.009424,0.0005155000000000003
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_certificate_ms,3,3,0.004117,0.00395,0.00431,0.004033500000000001,0.0042135,0.0001799999999999996
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_count_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_degree_queries,3,3,6,6,6,6.0,6.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_degree_requeries,3,3,2,2,2,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_graph_bytes,3,3,0,0,0,0.0,0.0,0.0
