condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,metric,expected_seeds,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,batch_ms,5,5,0.29196,0.289653,0.295294,0.290544,0.292507,0.0019629999999999925
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_ms,5,5,0.135021,0.134159,0.137244,0.134499,0.137115,0.0026159999999999795
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,effective_commits_per_second,5,5,430758.922009,421193.635143,433669.254915,426693.397089,431565.967941,4872.5708520000335
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,ms_per_commit,5,5,0.00232148412698,0.0023059047619,0.00237420491803,0.00231714285714,0.0023436031746,2.646031745999998e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,peak_rss_kib,5,5,8076,7948,8180,8076.0,8180.0,104.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,runner_peak_rss_kib,5,5,8076,7948,8180,8076.0,8180.0,104.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,read_wall_ms,5,5,0.12467,0.122802,0.127907,0.123619,0.125793,0.0021739999999999815
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,commit_wall_ms,5,5,0.029528,0.028354,0.03217,0.029027,0.031228,0.002200999999999998
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,extract_ms,5,5,0.097246,0.096552,0.098866,0.096613,0.098023,0.0014099999999999946
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,read_worker_ms,5,5,0.122857,0.121038,0.125973,0.121799,0.124094,0.0022949999999999915
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,commit_worker_ms,5,5,0.028147,0.027247,0.031161,0.027839,0.029904,0.002065000000000001
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,reservation_worker_ms,5,5,0.017685,0.017508,0.017913,0.017647,0.017794,0.0001470000000000013
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,dependency_worker_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,apply_worker_ms,5,5,0.018233,0.017503,0.021607,0.018206,0.019977,0.0017710000000000017
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,sync_wait_ms,5,5,0.003043,0.002877,0.003541,0.00289,0.003143,0.00025299999999999975
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_B,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_acceptance_key_visits,5,5,506,494,506,506.0,506.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_build_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_certificate_ms,5,5,0.002986,0.002557,0.00312,0.002676,0.003019,0.000343
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_count_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_degree_queries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_degree_requeries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_graph_bytes,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_heavy_subsets,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_heavy_updates,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_incidences,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_index_payload_bytes,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_initial_core_size,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_initial_degree_evaluations,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_kernel_ms,5,5,0.030979,0.030443,0.031977,0.030671,0.031434,0.0007629999999999963
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_light_scans,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_normalize_ms,5,5,0.097246,0.096552,0.098866,0.096613,0.098023,0.0014099999999999946
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_profile_links,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_profiles,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_select_ms,5,5,0.003924,0.003898,0.004104,0.003921,0.003972,5.099999999999983e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_sort_ms,5,5,0.000193,0.000176,0.0002,0.000179,0.0002,2.1000000000000023e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_subsets,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_queries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_remaining,5,5,0,0,0,0.0,0.0,0.0
