condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,2,accept_static_degree,ok,0,-0.1505,-0.156374,1.8645152395942235,,1.8645152395947704,126,126,0.324586,0.174086,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,2,native,ok,0,0.1505,0.156374,0.5363324357797317,0.0,0.5363324357795743,126,126,0.174086,0.324586,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,2,accept_id,ok,0,0.01760600000000001,0.021148,0.9457585971052356,0.8647601263637178,0.9457585971054365,126,126,0.30698,0.324586,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,native,ok,0,0.14272900000000002,0.155329,0.5494878714707321,0.0,0.5494878714701682,126,126,0.174086,0.316815,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,accept_id,ok,0,0.009835000000000038,0.020102999999999982,0.9689566466234236,0.8705779345775742,0.9689566466229195,126,126,0.30698,0.316815,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,accept_static_degree,ok,0,-0.007770999999999972,-0.0010450000000000181,1.024528510329372,1.0067276554925353,1.0245285103286212,126,126,0.324586,0.316815,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,3,native,ok,0,0.12499100000000002,0.131128,0.5806149633934383,0.0,0.5806149633930516,126,126,0.173043,0.298034,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,3,accept_static_degree,ok,0,-0.027505,-0.027338,1.0922881282001382,1.208483314013788,1.0922881281997763,126,126,0.325539,0.298034,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,native,ok,0,0.128722,0.146294,0.5734362832005037,0.0,0.5734362832011852,126,126,0.173043,0.301765,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,accept_id,ok,0,0.0037309999999999843,0.015166000000000013,0.9876360744287774,0.8963320436928376,0.9876360744306089,126,126,0.298034,0.301765,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,accept_static_degree,ok,0,-0.023774000000000017,-0.012171999999999988,1.0787831590807417,1.0832023186186719,1.0787831590823846,126,126,0.325539,0.301765,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,3,accept_id,ok,0,-0.12499100000000002,-0.131128,1.7223117953341078,,1.7223117953352547,126,126,0.298034,0.173043,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,3,accept_static_degree,ok,0,-0.15249600000000002,-0.158466,1.8812607271025121,,1.8812607271031414,126,126,0.325539,0.173043,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,native,ok,0,0.14594400000000002,0.153881,0.5424766526535564,0.0,0.5424766526541609,126,126,0.173043,0.318987,baseline_dominates
