condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.012650999999999968,10,79148.96022764748,78524.927925334,1.0079469325066663
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.012650999999999968,100,9609.565636193285,9600.30282098041,1.0009648461497103
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.012650999999999968,1000,981.9819177382057,981.885108127292,1.0000985956606454
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.009835000000000038,0,397708.44183514034,410450.1921949313,0.9689566466234235
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.009835000000000038,0.1,382264.1566676274,394020.8893614361,0.9701621588823323
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.009835000000000038,1,283263.8287827524,289668.4905053106,0.9778896844755686
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.009835000000000038,10,78907.07439496748,79396.08564695207,0.9938408644708373
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.009835000000000038,100,9605.990478633723,9613.19846371933,0.9992501990765289
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.009835000000000038,1000,981.9445721123924,982.0198402300482,0.9999233537708992
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.007770999999999972,0,397708.44183514034,388186.79795185255,1.0245285103293718
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.007770999999999972,0.1,382264.1566676274,373459.4796464584,1.02357599017035
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.007770999999999972,1,283263.8287827524,278400.1272686296,1.017470184233895
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.007770999999999972,10,78907.07439496748,78524.927925334,1.0048665625009785
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.007770999999999972,100,9605.990478633723,9600.30282098041,1.0005924456508688
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.007770999999999972,1000,981.9445721123924,981.885108127292,1.0000605610418247
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.0037309999999999843,0,417543.4526866933,422770.5563794735,0.9876360744287773
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.0037309999999999843,0.1,400553.14481903584,405361.06088780507,0.9881391763228586
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.0037309999999999843,1,293183.48399706814,295751.04334395844,0.9913185112794201
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.0037309999999999843,10,79657.85056566556,79846.18835842573,0.9976412425360278
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.0037309999999999843,100,9617.024881762114,9619.764309666627,0.9997152292076678
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.0037309999999999843,1000,982.0597557640771,982.088314774956,0.9999709201194544
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.023774000000000017,0,417543.4526866933,387050.3994913052,1.0787831590807417
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.023774000000000017,0.1,400553.14481903584,372407.5557355197,1.0755773846422838
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.023774000000000017,1,293183.48399706814,277815.1382791777,1.055318604353542
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.023774000000000017,10,79657.85056566556,78478.31787331232,1.015030045550382
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.023774000000000017,100,9617.024881762114,9599.605776189457,1.0018145646788812
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.023774000000000017,1000,982.0597557640771,981.877816231109,1.0001852975288377
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.020953,0,395000.42321473913,422770.5563794735,0.9343139375585838
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.020953,0.1,379761.7145940016,405361.06088780507,0.936848038048507
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.020953,1,281887.3926982216,295751.04334395844,0.9531239163555092
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.020953,10,78799.89018047051,79846.18835842573,0.9868960785797509
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.020953,100,9604.40009583057,9619.764309666627,0.9984028492443814
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.020953,1000,981.9279511612729,982.088314774956,0.9998367116161851
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,0,-0.006552000000000002,0,395000.42321473913,387050.3994913052,1.0205400220071663
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,0,-0.006552000000000002,0.1,379761.7145940016,372407.5557355197,1.0197476091588882
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,0,-0.006552000000000002,1,281887.3926982216,277815.1382791777,1.0146581444203076
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,0,-0.006552000000000002,10,78799.89018047051,78478.31787331232,1.0040975942893846
