condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,rate_ratio,5,0.37603144689042184,0.3502061069552911,0.3908765039971524,0.35706591181999264,0.385564084459832,0.028498172639839336
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,commit_delta,5,2,1,2,2.0,2.0,0.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,batch_delta_ms,5,0.14909899999999998,0.14239000000000002,0.15921300000000005,0.14463699999999996,0.157787,0.01315000000000005
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,selector_delta_ms,5,0.149049,0.13887700000000003,0.160268,0.14056399999999997,0.15711999999999998,0.016556000000000015
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,batch_speedup,5,0.6457201578812154,0.6289735851694767,0.6633153471831419,0.6343211843871117,0.6530458767504361,0.018724692363324413
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,selector_speedup,5,0.4776021057280148,0.44855729198923733,0.4931921772989858,0.4639244198940269,0.49103838828581575,0.027113968391788867
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,rate_ratio,5,0.6573874092724825,0.6499393713413227,0.683115805307046,0.6550784210374333,0.6722531084189303,0.017174687381496967
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,batch_delta_ms,5,0.11612900000000004,0.112533,0.133658,0.11601800000000001,0.128083,0.012064999999999992
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,selector_delta_ms,5,0.11743200000000001,0.11005900000000002,0.131994,0.11540299999999998,0.128884,0.01348100000000002
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,batch_speedup,5,0.7254101267858071,0.6950259595881251,0.732139657692489,0.701518241030959,0.7290375318214728,0.02751929079051374
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,selector_speedup,5,0.577229918493131,0.5458411610479159,0.5983585319480481,0.5549589758217419,0.5821426761001963,0.027183700278454404
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,rate_ratio,5,0.7254101267836846,0.6950259595879713,0.7321396576908359,0.7015182410299614,0.7290375318213747,0.027519290791413242
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,commit_delta,5,-4,-5,-3,-4.0,-3.0,1.0
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,batch_delta_ms,5,-0.128719,-0.13333,-0.127959,-0.131494,-0.128702,0.002791999999999989
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,selector_delta_ms,5,-0.134925,-0.136268,-0.130837,-0.135614,-0.134317,0.0012970000000000204
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,batch_speedup,5,1.8823087349195486,1.8497593694092171,1.93431409804028,1.8723743685190108,1.921348395091796,0.048974026572785156
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,selector_speedup,0,,,,,,
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,rate_ratio,5,1.7681523384058055,1.7418379338049388,1.8221799474285856,1.7475494106187595,1.816547573543592,0.06899816292483263
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_static_degree,commit_delta,5,-5,-7,-5,-6.0,-5.0,1.0
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_static_degree,batch_delta_ms,5,-0.15775499999999998,-0.16264699999999999,-0.15452999999999997,-0.158294,-0.15689399999999998,0.0014000000000000123
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_static_degree,selector_delta_ms,5,-0.16219,-0.165375,-0.160336,-0.163964,-0.161869,0.0020949999999999858
