condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,metric,expected_seeds,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,batch_ms,5,5,0.299269,0.297533,0.304915,0.29917,0.301437,0.002267000000000019
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_ms,5,5,0.134313,0.13184,0.138453,0.132716,0.135578,0.0028620000000000034
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,effective_commits_per_second,5,5,417997.790583,407794.899221,423482.437242,413229.916534,421025.899776,7795.9832419999875
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,ms_per_commit,5,5,0.00239235714286,0.00236137301587,0.00245221311475,0.00237515079365,0.00241996031746,4.4809523810000404e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,peak_rss_kib,5,5,8180,8044,8188,8076.0,8184.0,108.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,runner_peak_rss_kib,5,5,8180,8044,8188,8076.0,8184.0,108.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,read_wall_ms,5,5,0.134568,0.133081,0.13537,0.133915,0.134756,0.0008409999999999807
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,commit_wall_ms,5,5,0.032091,0.030952,0.032407,0.03125,0.032155,0.000905000000000003
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,extract_ms,5,5,0.096147,0.095132,0.100447,0.095199,0.09776,0.002560999999999994
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,read_worker_ms,5,5,0.132879,0.131336,0.133519,0.132206,0.133056,0.0008500000000000174
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,commit_worker_ms,5,5,0.031018,0.029782,0.031203,0.029984,0.031155,0.0011709999999999984
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,reservation_worker_ms,5,5,0.017466,0.017278,0.017655,0.017307,0.017542,0.0002349999999999991
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,dependency_worker_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,apply_worker_ms,5,5,0.0213,0.020057,0.021689,0.020548,0.021508,0.000959999999999999
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,sync_wait_ms,5,5,0.002979,0.00293,0.003092,0.002957,0.003014,5.700000000000019e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_B,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_acceptance_key_visits,5,5,506,494,506,506.0,506.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_build_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_certificate_ms,5,5,0.002607,0.002554,0.002825,0.002585,0.002617,3.199999999999991e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_count_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_degree_queries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_degree_requeries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_graph_bytes,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_heavy_subsets,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_heavy_updates,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_incidences,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_index_payload_bytes,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_initial_core_size,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_initial_degree_evaluations,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_kernel_ms,5,5,0.031191,0.030314,0.031657,0.030609,0.031198,0.0005889999999999992
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_light_scans,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_normalize_ms,5,5,0.096147,0.095132,0.100447,0.095199,0.09776,0.002560999999999994
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_profile_links,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_profiles,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_select_ms,5,5,0.003844,0.003745,0.004008,0.003793,0.003926,0.00013299999999999987
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_sort_ms,5,5,0.000181,0.00018,0.000188,0.00018,0.000186,5.999999999999983e-06
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_subsets,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_queries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_remaining,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_round,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switches,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_total_ms,5,5,0.134313,0.13184,0.138453,0.132716,0.135578,0.0028620000000000034
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_tree_updates,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_trim_key_visits,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_trim_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,commit_count,5,5,124,122,126,124.0,126.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,abort_count,5,5,4,2,6,2.0,4.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,batch_ms,5,5,0.318987,0.31319,0.3252,0.316731,0.31899,0.002259000000000011
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_ms,5,5,0.151866,0.150357,0.163753,0.151482,0.153881,0.0023989999999999845
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,effective_commits_per_second,5,5,391499.411172,375153.751538,402311.695776,388726.919339,395000.423215,6273.5038760000025
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,ms_per_commit,5,5,0.00255428225806,0.00248563492063,0.00266557377049,0.00253164285714,0.0025725,4.085714285999992e-05
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,peak_rss_kib,5,5,8064,8008,8140,8060.0,8084.0,24.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,runner_peak_rss_kib,5,5,8064,8008,8140,8060.0,8084.0,24.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,read_wall_ms,5,5,0.134551,0.132817,0.135867,0.133875,0.135169,0.0012940000000000174
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,commit_wall_ms,5,5,0.031255,0.028393,0.032664,0.030916,0.032067,0.0011509999999999992
