condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-eas_k2_adaptive,122,6,0.331716,0.163753,367784.490347,0.00271898360656,8064,8064,0.135777,0.032085,0.099555,0.133876,0.030781,0.017529,0,0.021069,0.003205,12,30,36,0,0,0,0,16,0,0,0,768,0,0,0,0,0,6976,0.099555,0.016821,0.015049,0.002453,0,0.005944,0.057699,0.163753,0,0,0,0,4
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-accept_id,122,6,0.297665,0.132242,409856.718123,0.00243987704918,8184,8184,0.134075,0.03125,0.094044,0.132037,0.029984,0.017567,0,0.020548,0.003304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094044,0,0,0.003963,0,0.002738,0.031657,0.132242,0,0.00018,0,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-eas_k1_adaptive,122,6,0.321757,0.160396,379168.129986,0.00263735245902,8328,8328,0.132919,0.028243,0.096138,0.13081,0.026906,0.017435,0,0.017211,0.003446,12,30,36,0,0,0,0,17,0,0,0,768,0,0,0,0,0,6976,0.096138,0.016467,0.015239,0.002585,0,0.00579,0.057634,0.160396,0,0,0,0,5
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-native,122,6,0.169219,0,720959.230346,0.00138704098361,8248,8248,0.131562,0.037522,0,0.129474,0.036595,0.017438,0.00741,0.014405,0.003015,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-eas_k2_adaptive,122,6,0.3252,0.15787,375153.751538,0.00266557377049,8048,8048,0.135169,0.032067,0.095782,0.133392,0.03074,0.017392,0,0.021372,0.003104,12,30,36,0,0,0,0,16,0,0,0,768,0,0,0,0,0,6976,0.095782,0.01559,0.015035,0.002462,0,0.005622,0.05569,0.15787,0,0,0,0,4
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-accept_id,122,6,0.305395,0.141961,399482.63724,0.00250323770492,8324,8324,0.136171,0.02716,0.097362,0.134344,0.026112,0.017786,0,0.016823,0.002875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097362,0,0,0.004026,0,0.002825,0.038073,0.141961,0,0.000192,0,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-accept_static_degree,122,6,0.327661,0.158521,372336.042434,0.00268574590164,8016,8016,0.137119,0.03191,0.096679,0.135399,0.030625,0.017584,0,0.020927,0.003005,0,378,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048,0.096679,0,0,0.00644,0,0.002685,0.055307,0.158521,0.016959,0.004622,128,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,3,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r3-measure-eas_k1_adaptive,122,6,0.327224,0.162054,372833.288512,0.00268216393443,7952,7952,0.13431,0.030745,0.097747,0.132462,0.029648,0.017486,0,0.020261,0.002945,12,30,36,0,0,0,0,17,0,0,0,768,0,0,0,0,0,6976,0.097747,0.016556,0.014799,0.002684,0,0.005692,0.057766,0.162054,0,0,0,0,5
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,3,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r3-measure-accept_static_degree,122,6,0.325925,0.15932,374319.245225,0.00267151639344,8004,8004,0.135406,0.031093,0.09814,0.133691,0.030074,0.017545,0,0.020483,0.002734,0,378,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048,0.09814,0,0,0.006341,0,0.002879,0.054629,0.15932,0.016544,0.004799,128,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,3,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r3-measure-eas_k2_adaptive,122,6,0.322688,0.168875,378074.176914,0.00264498360656,8140,8140,0.122098,0.031611,0.105579,0.119928,0.030479,0.017434,0,0.021119,0.003302,12,30,36,0,0,0,0,16,0,0,0,768,0,0,0,0,0,6976,0.105579,0.01583,0.014979,0.002462,0,0.005816,0.056687,0.168875,0,0,0,0,4
