condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,metric,expected_repeats,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_select_ms,3,3,0.001476,0.001306,0.001623,0.001391,0.0015495,0.0001585
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_sort_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_subsets,3,3,10,10,10,10.0,10.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_switch_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_switch_queries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_switch_remaining,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_switch_round,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_switches,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_total_ms,3,3,0.152712,0.150634,0.155165,0.151673,0.15393849999999998,0.002265499999999976
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_tree_updates,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_trim_key_visits,3,3,768,768,768,768.0,768.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,selector_trim_ms,3,3,0.014745,0.014633,0.01476,0.014689,0.0147525,6.349999999999932e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,commit_count,3,3,126,126,126,126.0,126.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,abort_count,3,3,2,2,2,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,batch_ms,3,3,0.290034,0.288193,0.29574,0.2891135,0.292887,0.003773499999999985
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_ms,3,3,0.133592,0.13312,0.139959,0.13335599999999997,0.1367755,0.0034195000000000197
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,effective_commits_per_second,3,3,434431.825234,426049.908704,437207.01058,430240.86696899997,435819.417907,5578.550938000029
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,ms_per_commit,3,3,0.00230185714286,0.00228724603175,0.00234714285714,0.002294551587305,0.0023245,2.9948412695000263e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,peak_rss_kib,3,3,8204,8188,8324,8196.0,8264.0,68.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,runner_peak_rss_kib,3,3,8204,8188,8324,8196.0,8264.0,68.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,read_wall_ms,3,3,0.126014,0.125758,0.127468,0.125886,0.126741,0.0008549999999999947
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,commit_wall_ms,3,3,0.029364,0.028658,0.029585,0.029011000000000002,0.0294745,0.00046349999999999864
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,extract_ms,3,3,0.095854,0.095687,0.100533,0.0957705,0.09819349999999999,0.0024229999999999946
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,read_worker_ms,3,3,0.123932,0.123867,0.125574,0.1238995,0.124753,0.000853500000000007
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,commit_worker_ms,3,3,0.028082,0.027547,0.028544,0.0278145,0.028312999999999998,0.0004984999999999989
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,reservation_worker_ms,3,3,0.017398,0.017341,0.019101,0.0173695,0.018249500000000002,0.0008800000000000023
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,dependency_worker_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,apply_worker_ms,3,3,0.017905,0.017557,0.019077,0.017731,0.018491,0.0007600000000000003
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,sync_wait_ms,3,3,0.003176,0.002937,0.003188,0.0030565,0.003182,0.00012549999999999974
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_B,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_acceptance_key_visits,3,3,506,506,506,506.0,506.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_build_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_certificate_ms,3,3,0.002795,0.002771,0.002972,0.002783,0.0028834999999999998,0.0001004999999999999
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_count_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_degree_queries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_degree_requeries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_graph_bytes,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_heavy_subsets,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_heavy_updates,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_incidences,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_index_payload_bytes,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_initial_core_size,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_initial_degree_evaluations,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_kernel_ms,3,3,0.031327,0.030172,0.032532,0.0307495,0.0319295,0.0011800000000000005
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_light_scans,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_normalize_ms,3,3,0.095854,0.095687,0.100533,0.0957705,0.09819349999999999,0.0024229999999999946
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_profile_links,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_profiles,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_select_ms,3,3,0.00389,0.00384,0.003997,0.003865,0.0039435,7.850000000000001e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_sort_ms,3,3,0.00019,0.000184,0.0002,0.000187,0.00019500000000000002,8.000000000000032e-06
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_subsets,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switch_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switch_queries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switch_remaining,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switch_round,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_switches,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_total_ms,3,3,0.133592,0.13312,0.139959,0.13335599999999997,0.1367755,0.0034195000000000197
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_tree_updates,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_trim_key_visits,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,selector_trim_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,commit_count,3,3,124,124,124,124.0,124.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,abort_count,3,3,4,4,4,4.0,4.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,batch_ms,3,3,0.307871,0.307196,0.313226,0.3075335,0.3105485,0.00301499999999999
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_ms,3,3,0.151586,0.149766,0.151933,0.150676,0.1517595,0.0010834999999999873
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,effective_commits_per_second,3,3,402766.093591,395880.290908,403651.089207,399323.1922495,403208.591399,3885.399149500008
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,ms_per_commit,3,3,0.00248283064516,0.00247738709677,0.00252601612903,0.002480108870965,0.002504423387095,2.4314516129999957e-05
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,peak_rss_kib,3,3,8180,8040,8208,8110.0,8194.0,84.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,runner_peak_rss_kib,3,3,8180,8040,8208,8110.0,8194.0,84.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,read_wall_ms,3,3,0.12721,0.124195,0.130515,0.1257025,0.1288625,0.003159999999999996
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,commit_wall_ms,3,3,0.031994,0.027946,0.03284,0.02997,0.032417,0.0024470000000000013
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,extract_ms,3,3,0.097563,0.096108,0.099731,0.09683549999999999,0.098647,0.0018115000000000075
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,read_worker_ms,3,3,0.125562,0.122049,0.128905,0.12380550000000001,0.1272335,0.0034279999999999866
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,commit_worker_ms,3,3,0.030952,0.026533,0.031762,0.0287425,0.031356999999999996,0.0026144999999999953
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,reservation_worker_ms,3,3,0.018383,0.017387,0.018592,0.017884999999999998,0.0184875,0.0006025000000000023
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,dependency_worker_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,apply_worker_ms,3,3,0.020771,0.017165,0.021463,0.018968,0.021117,0.0021490000000000016
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,sync_wait_ms,3,3,0.003061,0.002688,0.003188,0.0028745,0.0031244999999999997,0.0002499999999999998
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_B,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_acceptance_key_visits,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_build_ms,3,3,0.008489,0.008187,0.009647,0.008338,0.009068,0.0007299999999999997
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_certificate_ms,3,3,0.00412,0.00402,0.00433,0.004070000000000001,0.004225,0.0001549999999999989
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_count_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_degree_queries,3,3,6,6,6,6.0,6.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_degree_requeries,3,3,2,2,2,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,selector_graph_bytes,3,3,0,0,0,0.0,0.0,0.0
