condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,metric,expected_seeds,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,batch_ms,5,5,0.291676,0.285344,0.291988,0.290034,0.291866,0.0018320000000000003
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_ms,5,5,0.133842,0.133313,0.136254,0.133592,0.133966,0.0003740000000000132
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,effective_commits_per_second,5,5,431704.960496,418272.329571,441572.277672,431524.583202,434431.825234,2907.24203199998
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,ms_per_commit,5,5,0.0023163968254,0.00226463492063,0.00239078688525,0.00230185714286,0.00231736507937,1.55079365100003e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,peak_rss_kib,5,5,8184,8000,8204,8180.0,8204.0,24.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,runner_peak_rss_kib,5,5,8184,8000,8204,8180.0,8204.0,24.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,read_wall_ms,5,5,0.126014,0.123319,0.126598,0.125374,0.126032,0.0006579999999999919
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,commit_wall_ms,5,5,0.029364,0.028612,0.031735,0.029034,0.030322,0.001288000000000001
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,extract_ms,5,5,0.096341,0.095824,0.098068,0.095854,0.097356,0.0015020000000000033
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,read_worker_ms,5,5,0.123773,0.121352,0.124708,0.123555,0.123932,0.00037700000000000233
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,commit_worker_ms,5,5,0.028082,0.027366,0.03039,0.027882,0.029202,0.0013199999999999983
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,reservation_worker_ms,5,5,0.017398,0.01726,0.017925,0.017388,0.017551,0.00016299999999999995
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,dependency_worker_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,apply_worker_ms,5,5,0.018315,0.017499,0.020577,0.017905,0.019504,0.0015989999999999997
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,sync_wait_ms,5,5,0.003045,0.002939,0.003276,0.003034,0.003176,0.0001420000000000002
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_B,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_acceptance_key_visits,5,5,506,494,506,506.0,506.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_build_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_certificate_ms,5,5,0.002764,0.002585,0.002869,0.002623,0.002795,0.00017200000000000028
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_count_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_degree_queries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_degree_requeries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_graph_bytes,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_heavy_subsets,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_heavy_updates,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_incidences,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_index_payload_bytes,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_initial_core_size,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_initial_degree_evaluations,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_kernel_ms,5,5,0.030932,0.030254,0.031327,0.030804,0.0311,0.00029599999999999765
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_light_scans,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_normalize_ms,5,5,0.096341,0.095824,0.098068,0.095854,0.097356,0.0015020000000000033
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_profile_links,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_profiles,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_select_ms,5,5,0.00392,0.00385,0.00413,0.00389,0.003937,4.70000000000006e-05
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_sort_ms,5,5,0.00019,0.000185,0.000201,0.000188,0.000192,4.000000000000016e-06
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_subsets,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_queries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_remaining,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_round,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switches,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_total_ms,5,5,0.133842,0.133313,0.136254,0.133592,0.133966,0.0003740000000000132
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_tree_updates,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_trim_key_visits,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_trim_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,commit_count,5,5,124,122,126,124.0,126.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,abort_count,5,5,4,2,6,2.0,4.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,batch_ms,5,5,0.307871,0.302719,0.31771,0.303814,0.309226,0.005412000000000028
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_ms,5,5,0.149314,0.147335,0.163297,0.148884,0.151586,0.00270200000000001
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,effective_commits_per_second,5,5,402766.093591,383997.985584,416227.590604,401001.209471,414727.431916,13726.222444999963
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,ms_per_commit,5,5,0.00248283064516,0.00240253174603,0.00260418032787,0.00241122222222,0.00249375806452,8.253584230000005e-05
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,peak_rss_kib,5,5,8096,8016,8192,8028.0,8180.0,152.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,runner_peak_rss_kib,5,5,8096,8016,8192,8028.0,8180.0,152.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,read_wall_ms,5,5,0.125143,0.121978,0.12721,0.122348,0.125315,0.0029670000000000113
