condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,2,native,ok,0,0.157237,0.163297,0.5050926945957005,0.0,0.5050926945955353,122,122,0.160473,0.31771,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,2,accept_id,ok,0,0.02570699999999998,0.027107999999999993,0.9190865883982249,0.8339957255797719,0.9190865883973858,122,122,0.292003,0.31771,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,2,accept_static_degree,ok,0,-0.009904000000000024,-0.0066809999999999925,1.0311730823707155,1.0409131827284028,1.0311730823696883,122,122,0.327614,0.31771,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,2,native,ok,0,0.13153,0.136189,0.549559422334702,0.0,0.549559422335024,122,122,0.160473,0.292003,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,2,accept_static_degree,ok,0,-0.035611000000000004,-0.033788999999999986,1.121954226497673,1.2481037381873719,1.1219542264975795,122,122,0.327614,0.292003,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,2,native,ok,0,0.167141,0.169978,0.48982338972083,0.0,0.4898233897211578,122,122,0.160473,0.327614,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,2,accept_id,ok,0,0.035611000000000004,0.033788999999999986,0.8913019590127406,0.8012154514113592,0.8913019590128148,122,122,0.292003,0.327614,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,3,native,ok,0,0.1559,0.16151,0.5116159590997945,0.0,0.5116159591004578,122,122,0.163316,0.319216,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,3,accept_id,ok,0,0.02754000000000001,0.027667999999999998,0.9137261290160894,0.8286917218748066,0.9137261290173999,122,122,0.291676,0.319216,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,3,accept_static_degree,ok,0,0.0037920000000000176,0.005710999999999994,0.9881208961956793,0.9646399603739707,0.9881208961969901,122,122,0.315424,0.319216,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,3,native,ok,0,0.152108,0.155799,0.5177665618342294,0.0,0.517766561834214,122,122,0.163316,0.315424,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,3,accept_id,ok,0,0.02374799999999999,0.021957000000000004,0.9247108653748606,0.8590684150732675,0.9247108653749603,122,122,0.291676,0.315424,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,3,native,ok,0,0.15378900000000004,0.161213,0.5150218381923968,0.0,0.5150218381926052,122,122,0.163316,0.317105,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,3,accept_id,ok,0,0.025429000000000035,0.027371000000000006,0.9198088961069676,0.8302184067041739,0.9198088961074666,122,122,0.291676,0.317105,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,3,accept_static_degree,ok,0,0.0016810000000000436,0.005414000000000002,0.9946989167625864,0.9664171003579116,0.9946989167630188,122,122,0.315424,0.317105,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,3,native,ok,0,0.12836,0.133842,0.5599226539036465,0.0,0.5599226539035693,122,122,0.163316,0.291676,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,3,accept_static_degree,ok,0,-0.02374799999999999,-0.021957000000000004,1.0814191088742302,1.1640516429820236,1.0814191088741136,122,122,0.315424,0.291676,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,3,accept_id,ok,0,-0.12836,-0.133842,1.7859609591221925,,1.7859609591224388,122,122,0.291676,0.163316,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,3,accept_static_degree,ok,0,-0.152108,-0.155799,1.9313723088980872,,1.9313723088981452,122,122,0.315424,0.163316,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,71,1,native,ok,-2,0.14100399999999996,0.148884,0.5404625878718156,0.0,0.5318838166351063,126,124,0.165835,0.306839,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,71,1,accept_id,ok,-2,0.01728799999999997,0.014614999999999989,0.9436577488520039,0.9018363289540852,0.9286790544255101,126,124,0.289551,0.306839,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,71,1,accept_static_degree,ok,-2,-0.007909000000000055,-0.006964999999999999,1.0257757325502952,1.0467813868515086,1.009493578064293,126,124,0.314748,0.306839,tradeoff_or_tie
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,71,1,accept_id,ok,0,-0.12371599999999999,-0.134269,1.746018632978563,,1.7460186329801821,126,126,0.289551,0.165835,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,71,1,accept_static_degree,ok,0,-0.14891300000000002,-0.155849,1.8979588144842765,,1.8979588144845672,126,126,0.314748,0.165835,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,71,1,native,ok,0,0.12371599999999999,0.134269,0.5727315740577653,0.0,0.5727315740572342,126,126,0.165835,0.289551,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,71,1,accept_static_degree,ok,0,-0.025197000000000025,-0.021579999999999988,1.0870209393163899,1.160722132435633,1.0870209393155483,126,126,0.314748,0.289551,variant_dominates
