condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,rate_ratio,5,0.919945480194391,0.8913019590128148,0.9307344023264378,0.9062188499342521,0.9258594937065276,0.01964064377227559
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,commit_delta,5,5,5,7,5.0,6.0,1.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,batch_delta_ms,5,0.28151899999999996,0.273308,0.29403999999999997,0.274578,0.290305,0.01572699999999999
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,selector_delta_ms,5,0.282202,0.275111,0.293665,0.278198,0.29233,0.014131999999999978
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,batch_speedup,5,0.3302683979388409,0.31257353864470316,0.3375539903144648,0.31282088912770234,0.3365533771800534,0.023732488052351064
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,rate_ratio,5,0.3556736593197296,0.3428998207755535,0.3756649247038664,0.34606356064300053,0.3624420985013462,0.016378537858345643
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,commit_delta,5,2,1,2,2.0,2.0,0.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,batch_delta_ms,5,0.15102900000000002,0.13793899999999998,0.170441,0.147144,0.15794800000000003,0.010804000000000036
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,selector_delta_ms,5,0.14985800000000002,0.13985199999999998,0.164183,0.14685399999999998,0.157066,0.010212000000000027
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,batch_speedup,5,0.6407031350363748,0.6000232102032054,0.6644930144769614,0.6260160676612863,0.6431704921610709,0.01715442449978466
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,selector_speedup,5,0.4689690363640229,0.4409173718352545,0.48857211816246976,0.45508036789170025,0.4723024736607592,0.01722210576905897
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,rate_ratio,5,0.6499886877189959,0.6218422360257742,0.6840369266668643,0.6468832699173752,0.6623696113278674,0.01548634141049221
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,batch_delta_ms,5,0.122913,0.114672,0.140681,0.11853400000000003,0.13032100000000002,0.011786999999999992
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,selector_delta_ms,5,0.12232199999999999,0.11370999999999998,0.13652200000000003,0.11459399999999997,0.13017099999999998,0.015577000000000008
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,batch_speedup,5,0.7082171132335953,0.6703454838747114,0.7257339663481661,0.6939279044496399,0.7116915084059775,0.01776360395633758
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,selector_speedup,5,0.5734327431745821,0.539233928650686,0.591400399580297,0.5541446795518965,0.5809386587872184,0.026793979235321896
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,rate_ratio,5,0.7082171132332349,0.6703454838732686,0.7257339663460481,0.6939279044487937,0.7116915084052249,0.017763603956431173
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,commit_delta,5,-4,-5,-3,-4.0,-3.0,1.0
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,batch_delta_ms,5,-0.13028099999999998,-0.13424200000000003,-0.12526999999999996,-0.13048999999999997,-0.12881,0.0016799999999999593
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,selector_delta_ms,5,-0.132042,-0.133602,-0.130674,-0.132344,-0.131438,0.0009059999999999901
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,batch_speedup,5,1.9692012408775412,1.9061252242347084,1.993084413331586,1.9399468403120428,1.9770632670930974,0.037116426781054646
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,selector_speedup,0,,,,,,
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_id,rate_ratio,5,1.8379211581515993,1.7638770731702587,1.889839887662813,1.8274861539147447,1.8843707180574012,0.056884564142656524
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_static_degree,commit_delta,5,-5,-7,-5,-6.0,-5.0,1.0
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_static_degree,batch_delta_ms,5,-0.158606,-0.16391099999999997,-0.15408200000000002,-0.160393,-0.154764,0.005628999999999995
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_static_degree,selector_delta_ms,5,-0.161286,-0.164582,-0.15794,-0.162159,-0.160401,0.0017580000000000096
