condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-eas_k1_adaptive,126,2,0.311428,0.155165,404587.898326,0.00247165079365,8128,8128,0.127485,0.028693,0.101478,0.12565,0.027459,0.017812,0,0.017608,0.003069,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.101478,0.009141,0.014633,0.001623,0,0.004099,0.047121,0.155165,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-native,126,2,0.164044,0,768086.610909,0.00130193650794,8276,8276,0.125962,0.038014,0,0.124085,0.037057,0.017956,0.006988,0.015083,0.002834,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-accept_id,126,2,0.29574,0.139959,426049.908704,0.00234714285714,8204,8204,0.126014,0.029585,0.100533,0.123867,0.028544,0.017341,0,0.019077,0.003188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100533,0,0,0.00384,0,0.002972,0.032532,0.139959,0,0.00019,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-accept_static_degree,126,2,0.306756,0.155834,410749.911982,0.00243457142857,8124,8124,0.122912,0.027912,0.094627,0.121014,0.026523,0.018072,0,0.01689,0.003287,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.094627,0,0,0.006236,0,0.002658,0.054671,0.155834,0.015828,0.005689,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-eas_k2_adaptive,124,4,0.307871,0.151586,402766.093591,0.00248283064516,8040,8040,0.124195,0.031994,0.097563,0.122049,0.030952,0.018592,0,0.020771,0.003188,4,10,12,0,0,0,0,6,0,0,0,768,0,0,0,0,0,4928,0.097563,0.009647,0.014415,0.001861,0,0.00433,0.04744,0.151586,0,0,0,0,2
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-eas_k1_adaptive,126,2,0.306324,0.15015,411329.180867,0.00243114285714,8052,8052,0.127096,0.028994,0.097302,0.125359,0.027739,0.017613,0,0.018254,0.002992,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.097302,0.008444,0.014933,0.001361,0,0.003984,0.046173,0.15015,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-accept_id,126,2,0.292494,0.133665,430778.067242,0.00232138095238,8048,8048,0.12672,0.031939,0.095764,0.124799,0.030759,0.01806,0,0.020771,0.003101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095764,0,0,0.00392,0,0.00293,0.031379,0.133665,0,0.000193,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-native,126,2,0.167709,0,751301.361287,0.00133102380952,8256,8256,0.129537,0.038099,0,0.127632,0.036924,0.017252,0.007082,0.014929,0.00308,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-eas_k2_adaptive,126,2,0.298225,0.147202,422499.790427,0.00236686507937,8008,8008,0.121978,0.028952,0.094725,0.12026,0.027934,0.017184,0,0.018509,0.002736,4,10,12,0,0,0,0,4,0,0,0,768,0,0,0,0,0,4928,0.094725,0.008306,0.014577,0.001287,0,0.004218,0.045965,0.147202,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-accept_static_degree,126,2,0.322906,0.169564,390206.437787,0.00256274603175,8016,8016,0.12473,0.028516,0.105412,0.123098,0.027514,0.017706,0,0.017729,0.002634,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.105412,0,0,0.006334,0,0.002603,0.057501,0.169564,0.016053,0.005229,128,506,0
