condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,selector_delta_ms,3,0.151586,0.149766,0.151933,0.150676,0.1517595,0.0010834999999999873
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,batch_speedup,3,0.5328335569118234,0.5299157541113816,0.5361783504562201,0.5313746555116026,0.5345059536840218,0.0031312981724191946
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,selector_speedup,3,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,rate_ratio,3,0.5243758814052784,0.5215043929353321,0.5276675829886744,0.5229401371703053,0.5260217321969765,0.003081595026671158
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,commit_delta,3,-2,-2,-2,-2.0,-2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,batch_delta_ms,3,0.019003000000000048,0.012131000000000003,0.02319199999999999,0.015567000000000025,0.02109750000000002,0.005530499999999994
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,selector_delta_ms,3,0.016646000000000022,0.011626999999999998,0.018341000000000024,0.01413650000000001,0.017493500000000023,0.0033570000000000128
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,batch_speedup,3,0.9381404705790438,0.925957615268209,0.9605971332148855,0.9320490429236263,0.9493688018969646,0.017319758973338262
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,selector_speedup,3,0.8888532777800033,0.8792823152310556,0.9232976660113731,0.8840677965055295,0.9060754718956883,0.0220076753901588
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,rate_ratio,3,0.9232493519980738,0.9112598753435369,0.9453495596705397,0.9172546136708053,0.9342994558343067,0.01704484216350144
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,commit_delta,3,-2,-2,-2,-2.0,-2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,batch_delta_ms,3,-0.007790000000000019,-0.01082099999999997,0.0011150000000000326,-0.009305499999999994,-0.0033374999999999932,0.005968000000000001
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,selector_delta_ms,3,-0.0044159999999999755,-0.014364999999999989,-0.004248000000000002,-0.009390499999999982,-0.004331999999999989,0.0050584999999999936
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,batch_speedup,3,1.024870221501408,0.9963783532713376,1.03522506803474,1.0106242873863729,1.030047644768074,0.01942335738170109
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,selector_speedup,3,1.0290654433204107,1.0280236961196945,1.0959162960885647,1.0285445697200526,1.0624908697044877,0.0339462999844351
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,rate_ratio,3,1.0086024402063536,0.9805628238543607,1.0187929240989164,0.9945826320303571,1.013697682152635,0.019115050122277766
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,11,batch_delta_ms,3,0.153071,0.14271199999999998,0.155229,0.1478915,0.15415,0.0062585
