condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,wins_for,crossover_us
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,101,1,-1,0.123973,no_c,
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,101,1,2,0.147144,c_above,36.43830468750001
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,101,1,0,0.11517099999999997,no_c,
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,101,2,2,0.15458700000000003,c_above,38.399582031250006
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,101,2,0,0.114672,no_c,
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,101,2,1,0.13992400000000005,c_above,71.182734375
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,101,2,-1,0.10000900000000001,no_c,
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,101,3,2,0.14642899999999998,c_above,36.24395703125
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,101,3,0,0.11291499999999999,no_c,
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,101,3,1,0.13979799999999998,c_above,71.09625781249999
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,101,3,-1,0.10628399999999999,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,3,0.11604100000000006,c_above,33.77256510416671
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,0.03215600000000007,no_c,
