condition,mode,commit_count_count,commit_count_maximum,commit_count_median,commit_count_minimum,complete,complete_seeds,expected_seeds,fvs_size_count,fvs_size_maximum,fvs_size_median,fvs_size_minimum,peak_rss_kib_count,peak_rss_kib_maximum,peak_rss_kib_median,peak_rss_kib_minimum,total_ms_count,total_ms_maximum,total_ms_median,total_ms_minimum,validator_commits_per_second_count,validator_commits_per_second_maximum,validator_commits_per_second_median,validator_commits_per_second_minimum
main-l2-n512-uniform-k1,lazy,5,462,453,441,True,5,5,5,71,59,50,5,4220,4144,4064,5,0.649393,0.627164,0.604207,5,764638.608953554,722299.1115561479,680827.6764941543
main-l2-n512-uniform-k1,paper,5,462,453,441,True,5,5,5,71,59,50,5,4224,3908,3852,5,0.533079,0.495328,0.474335,5,973995.1721884322,914545.5132760515,827269.5041447891
main-l2-n512-uniform-k1,profile,5,462,453,441,True,5,5,5,71,59,50,5,4440,4348,4324,5,0.739811,0.700783,0.673575,5,685892.4395946999,646419.790434414,596098.1926465003
main-l2-n512-zipf-k1,accept_id,5,168,149,141,True,5,5,5,371,363,344,5,3988,3920,3856,5,0.388077,0.381393,0.374207,5,432903.7794046027,391814.49555855914,376796.7996322891
main-l2-n512-zipf-k1,accept_static_degree,5,179,153,147,True,5,5,5,365,359,333,5,3936,3916,3876,5,0.520543,0.50741,0.496839,5,350801.1272935102,296967.9571574227,295456.9154298029
main-l2-n512-zipf-k1,adaptive,5,179,153,147,True,5,5,5,365,359,333,5,4308,4244,4080,5,1.497597,1.432285,1.353891,5,131472.91768687437,109090.98687414394,98930.6738255684
main-l2-n512-zipf-k1,graph,5,179,153,147,True,5,5,5,365,359,333,5,3924,3908,3860,5,2.916757,2.806581,2.470305,5,72055.87973954632,54514.72806236485,50398.439088343664
main-l2-n512-zipf-k1,lazy,5,179,153,147,True,5,5,5,365,359,333,5,4344,4184,4148,5,1.485553,1.457201,1.354818,5,131382.96066335108,108858.83215106477,99646.08692528104
main-l2-n512-zipf-k1,paper,5,179,153,147,True,5,5,5,365,359,333,5,4216,4136,4048,5,3.041566,2.956933,2.713279,5,65603.27927942538,50303.03468673703,49498.432384646374
main-l2-n512-zipf-k1,profile,5,179,153,147,True,5,5,5,365,359,333,5,4244,4180,4112,5,1.782472,1.725086,1.640392,5,109120.25906002955,86952.18673156005,84906.31425732966
main-l3-n128-uniform-k1,accept_id,5,122,119,117,True,5,5,5,11,9,6,5,2020,2016,1984,5,0.139439,0.139341,0.135244,5,879891.1596817604,868111.6061499609,852539.7669724637
main-l3-n128-uniform-k1,accept_static_degree,5,122,119,117,True,5,5,5,11,9,6,5,3960,3932,3884,5,0.405836,0.402285,0.398994,5,305769.0090577803,293948.3688335684,290838.584585555
main-l3-n128-uniform-k1,adaptive,5,122,119,117,True,5,5,5,11,9,6,5,3980,1988,1984,5,0.210328,0.198748,0.185144,5,658946.5497126561,598748.1635035321,558589.8709036743
main-l3-n128-uniform-k1,graph,5,122,119,117,True,5,5,5,11,9,6,5,2056,2012,1992,5,0.171769,0.170269,0.165067,5,739093.822508436,698894.1028607674,681147.3548777719
main-l3-n128-uniform-k1,lazy,5,122,119,117,True,5,5,5,11,9,6,5,3924,2004,1996,5,0.210497,0.19822,0.184123,5,662600.5442014305,600343.0531732418,555827.398965306
main-l3-n128-uniform-k1,paper,5,122,119,117,True,5,5,5,11,9,6,5,3976,3888,3880,5,0.137956,0.134533,0.133402,5,914529.0175559587,889393.7921808085,848096.4945344892
main-l3-n128-uniform-k1,profile,5,122,119,117,True,5,5,5,11,9,6,5,4044,3980,3912,5,0.235546,0.219998,0.208252,5,585828.7075274187,540914.0083091664,496718.26309935213
main-l3-n128-zipf-k1,accept_id,5,44,40,36,True,5,5,5,92,88,84,5,2032,2008,1996,5,0.127176,0.126959,0.12535,5,345977.2284078757,319106.5017949741,283556.1086650021
