condition,numerator,denominator,commit_delta_count,commit_delta_maximum,commit_delta_median,commit_delta_minimum,complete,complete_seeds,expected_seeds,total_ms_delta_count,total_ms_delta_maximum,total_ms_delta_median,total_ms_delta_minimum,total_ms_ratio_count,total_ms_ratio_maximum,total_ms_ratio_median,total_ms_ratio_minimum,validator_rate_ratio_count,validator_rate_ratio_maximum,validator_rate_ratio_median,validator_rate_ratio_minimum
main-l2-n2048-zipf-k1,adaptive,accept_static_degree,5,0,-1,-2,True,5,5,5,7.431752,6.943525000000001,6.60753,5,5.358945660048582,5.102190467679196,4.8586505631028025,5,0.20489757683532495,0.19599425116225902,0.18616272623243996
main-l2-n2048-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,29.926434999999998,27.652178999999997,26.461852999999998,5,4.4713802076967655,4.248562123184305,4.053997496266732,5,0.24667010794182426,0.23537375022552295,0.2236445915018946
main-l2-n2048-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,32.281999,31.673352,28.080029000000003,5,4.876340739991813,4.577502074570678,4.220564197491396,5,0.2369351473422384,0.21845975899285414,0.2050718055444335
main-l2-n40-uniform-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,0.01106,0.009258000000000002,0.00037299999999999833,5,1.2186678265683386,1.1737651610009532,1.0072099586345535,5,0.9928416527529891,0.8519591765249097,0.8205681467901815
main-l2-n40-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.005357000000000001,0.0019390000000000032,-0.005690000000000001,5,1.0932463011314186,1.0328249056220482,0.9034988043349219,5,1.106808326919828,0.9682183248647762,0.9147069594153517
main-l2-n40-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,0.0024919999999999942,0.0017650000000000027,-0.0026240000000000013,5,1.039028974158183,1.028101963156973,0.9512557586565611,5,1.051241993438525,0.972666171095831,0.9624370685237106
main-l2-n40-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.009868000000000002,-0.016723000000000002,-0.019185,5,0.8147654534191804,0.7286944953681922,0.6986482398458771,5,1.4313354603463992,1.3723172143556863,1.2273470798295127
main-l2-n40-zipf-k1,adaptive,accept_id,5,1,1,0,True,5,5,5,0.059992,0.05051799999999999,0.044242,5,2.209467360187089,1.987335339874135,1.8509475642367166,5,0.5560842220399235,0.524152439584071,0.4741500447104769
main-l2-n40-zipf-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.049364,0.037127999999999994,0.03398799999999999,5,1.8418718875775972,1.5751285705434042,1.552362998114802,5,0.644179229480737,0.6348688092521931,0.5429259259259259
main-l2-n40-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.003008999999999998,-0.011779999999999999,-0.01494100000000001,5,0.9672500489779926,0.8853628392646873,0.8572313561988673,5,1.1665462220539822,1.1294804295496763,1.0338588259122978
main-l2-n40-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.026452000000000003,-0.030522999999999995,-0.03573900000000001,5,0.7254187582087405,0.7129236596356038,0.6405278369777829,5,1.5612123974475842,1.4026747274892368,1.3785141184786518
main-l2-n512-uniform-k1,adaptive,accept_id,5,5,3,1,True,5,5,5,0.23288000000000003,0.20787900000000004,0.18865699999999996,5,1.5585201422681847,1.503189122852032,1.4493010074067016,5,0.6975368911432143,0.6726769765119227,0.643092572300076
main-l2-n512-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.13383900000000004,0.11171900000000001,0.09071099999999999,5,1.2593779069767443,1.2205954075779506,1.1751732208652932,5,0.8509383827378986,0.8192722943176708,0.794042832147655
main-l2-n512-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.062243999999999966,-0.077924,-0.0850200000000001,5,0.8963201343220932,0.8763827325987822,0.869167593819392,5,1.1505260977410465,1.1410539742546606,1.1156728067436779
main-l2-n512-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.11676000000000009,-0.122834,-0.13662299999999994,5,0.8203247265861235,0.8012915708180056,0.7866742239356197,5,1.2711742288912706,1.2479851734608178,1.219029449668811
main-l2-n512-zipf-k1,adaptive,accept_id,5,13,6,4,True,5,5,5,1.1185910000000001,1.043811,0.972498,5,4.002049654979234,3.705794647130287,3.5498580204670773,5,0.3038960636081823,0.2770918886126264,0.26050481162627437
main-l2-n512-zipf-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.991866,0.906678,0.841193,5,2.990685111273471,2.725011272680919,2.661402486594314,5,0.3757417395666668,0.3669709589921001,0.3343715445770175
main-l2-n512-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,1.430868,1.3542279999999998,1.0561,5,2.001278719424255,1.9042673028858896,1.7373532502260374,5,0.5755881826968093,0.5251363600501434,0.4996805244037615
main-l2-n512-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,1.639067,1.516202,1.359388,5,2.1686760560970098,2.011668896725454,1.961293878614082,5,0.5098674966072062,0.49709969748390287,0.46111082251708496
main-l3-n128-uniform-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,0.07369400000000001,0.05974099999999999,0.045658000000000004,5,1.5358121814493555,1.4287180296810862,1.3273303413962692,5,0.753391954370652,0.6999281728272281,0.6511212842811898
main-l3-n128-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,-0.19375699999999998,-0.20726699999999998,-0.214313,5,0.5180617704340645,0.4877671720190903,0.4628666095229502,5,2.160449640190382,2.0501584718392283,1.9302717495678892
main-l3-n128-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.01961400000000002,-0.028819999999999985,-0.03859399999999999,5,0.8937952469393169,0.8552406210287862,0.8165056483207181,5,1.2247312704531426,1.1692615802054396,1.1188244773334466
main-l3-n128-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.05251,-0.064949,-0.07428199999999999,5,0.7181881607899963,0.6732092901563789,0.6418801378040045,5,1.5579232649590817,1.4854221630953894,1.3923927664026305
main-l3-n128-zipf-k1,adaptive,accept_id,5,3,3,1,True,5,5,5,0.361224,0.348082,0.334927,5,3.8688001638324185,3.7536825783586227,3.6633294898811175,5,0.2939738508091515,0.2863854301900153,0.26791770691919253
main-l3-n128-zipf-k1,adaptive,accept_static_degree,5,0,0,-1,True,5,5,5,0.07126200000000005,0.05724000000000001,0.049165000000000014,5,1.1716015372908621,1.137394685677252,1.115594501120325,5,0.8830690150689631,0.87601070666027,0.8535325092798507
main-l3-n128-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,0.05770700000000001,-0.009350999999999998,-0.04232899999999995,5,1.1252642820861245,0.9802276850469621,0.9132079572529352,5,1.095040830577241,1.0201711451886717,0.888680122456302
main-l3-n128-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.039483999999999964,-0.052097000000000004,-0.07981100000000002,5,0.9142922883898221,0.8929230604803736,0.8331821450070229,5,1.200217750695523,1.1199173190375677,1.0937421355277088
main-l3-n2048-uniform-k1,adaptive,accept_id,5,75,73,59,True,5,5,5,5.936876000000001,5.833983,5.75137,5,4.456511890683921,4.379608339636673,4.320660093903219,5,0.24791353038332298,0.2445400207931648,0.24041864976694677
main-l3-n2048-uniform-k1,adaptive,accept_static_degree,5,-14,-14,-21,True,5,5,5,0.6342499999999998,0.5475080000000005,0.453068,5,1.0901169581004808,1.0777731038489449,1.0644696671630418,5,0.9276181502469794,0.9144958869743095,0.8998359517560087
main-l3-n2048-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,-3.0739840000000003,-3.0880409999999996,-3.2049580000000004,5,0.5951982316632273,0.5896764959587647,0.5822703571250751,5,1.7174152655433805,1.695845106347818,1.680112518489161
main-l3-n2048-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,11.417256000000002,9.227065,6.8927890000000005,5,2.5120364528752055,2.2153586082877883,1.9095661897577048,5,0.523679150460286,0.4513941879472427,0.39808339518936064
main-l3-n2048-zipf-k1,adaptive,accept_id,5,30,28,23,True,5,5,5,11.053936,10.620852000000001,10.497966,5,8.70701730289088,8.38133270321361,8.207834580415884,5,0.13748222445788083,0.13468894582667726,0.13232704989123387
main-l3-n2048-zipf-k1,adaptive,accept_static_degree,5,1,0,-2,True,5,5,5,5.688679,5.215721,5.031002999999999,5,1.824550077393805,1.760748887658829,1.7329763396369358,5,0.5770419232668251,0.569426702413622,0.5429580792994902
main-l3-n2048-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,75.356567,72.877647,65.91924,5,7.245140299540055,7.036842234715738,6.4640781624172865,5,0.15470109965781156,0.14210919708652475,0.13802355215446735
main-l3-n2048-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,48.523861,46.221874,37.562222,5,5.020798057535607,4.8259001994281805,4.123175714394858,5,0.24253150223716965,0.20721522590096036,0.1991715238375544
main-l3-n40-uniform-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,0.023194000000000006,0.017004999999999992,0.0019590000000000024,5,1.4500455983080118,1.3354506539364408,1.038897603399321,5,0.9625587706891937,0.7488108954474285,0.6896334854344247
main-l3-n40-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,-0.055357,-0.06560800000000001,-0.083223,5,0.573267654926266,0.5187069487330764,0.39386898952673666,5,2.538915290593391,1.9278708381340661,1.7443858752655783
main-l3-n40-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,0.00019600000000000173,-0.003158000000000008,-0.006057000000000007,5,1.0037621405812123,0.9536229330043762,0.9189492981493623,5,1.0881993185193815,1.0486324996920044,0.9962519600719012
main-l3-n40-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.008384999999999997,-0.020970000000000003,-0.028528000000000005,5,0.8420636266033792,0.6920433518371663,0.6182574835075135,5,1.6174490833928532,1.444996180290298,1.1875587169507449
main-l3-n40-zipf-k1,adaptive,accept_id,5,2,1,0,True,5,5,5,0.104724,0.09871100000000001,0.087551,5,3.0762505204306194,2.9310777896179023,2.730906862260533,5,0.38209954183710854,0.34889308277117465,0.3411714296843554
