condition,seed,numerator,denominator,commit_delta,commit_delta_defined,complete,successful,total_ms_delta,total_ms_delta_defined,total_ms_ratio,total_ms_ratio_defined,validator_rate_ratio,validator_rate_ratio_defined
main-l1-n2048-uniform-k1,47,graph,adaptive,0,3,True,3,-0.21950099999999995,3,0.8807464207790402,3,1.135400583422726,3
main-l1-n2048-uniform-k1,47,paper,adaptive,0,3,True,3,0.24751000000000012,3,1.134470701240449,3,0.8814683348865542,3
main-l1-n2048-uniform-k1,71,adaptive,accept_id,0,3,True,3,0.7274700000000001,3,1.6320209344391332,3,0.6127372381676366,3
main-l1-n2048-uniform-k1,71,adaptive,accept_static_degree,0,3,True,3,0.556619,3,1.421083568542515,3,0.7036883840868101,3
main-l1-n2048-uniform-k1,71,graph,adaptive,0,3,True,3,-0.2798130000000001,3,0.8511404938628896,3,1.174894165194178,3
main-l1-n2048-uniform-k1,71,paper,adaptive,0,3,True,3,0.2953410000000001,3,1.1571203460955721,3,0.8642143432826694,3
main-l1-n2048-uniform-k1,101,adaptive,accept_id,0,3,True,3,0.6910189999999998,3,1.5967998245059478,3,0.626252573837426,3
main-l1-n2048-uniform-k1,101,adaptive,accept_static_degree,0,3,True,3,0.5238309999999999,3,1.3953256526864404,3,0.7166785746930731,3
main-l1-n2048-uniform-k1,101,graph,adaptive,0,3,True,3,-0.246591,3,0.8666277605031768,3,1.1538979543182248,3
main-l1-n2048-uniform-k1,101,paper,adaptive,0,3,True,3,0.26298900000000014,3,1.1422413303528112,3,0.8754717356367449,3
main-l1-n2048-zipf-k1,11,adaptive,accept_id,0,3,True,3,1.674314,3,2.4969411798680095,3,0.4004900107630332,3
main-l1-n2048-zipf-k1,11,adaptive,accept_static_degree,0,3,True,3,1.456463,3,2.1114517156778576,3,0.47360779911510376,3
main-l1-n2048-zipf-k1,11,graph,adaptive,0,3,True,3,5.713806999999999,3,3.0436743090041354,3,0.3285502647381452,3
main-l1-n2048-zipf-k1,11,paper,adaptive,0,3,True,3,18.280063,3,7.572664837295508,3,0.13205390988321342,3
