condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l1-n2048-uniform-k1,47,accept_static_degree,1804,True,3,244,4448,3,1.304543,1382859.7447535268
main-l1-n2048-uniform-k1,47,adaptive,1804,True,3,244,4420,3,1.845843,977331.2248116444
main-l1-n2048-uniform-k1,47,graph,1804,True,3,244,4336,3,1.621123,1112808.8368371802
main-l1-n2048-uniform-k1,47,lazy,1804,True,3,244,4460,3,1.524751,1183144.0018730927
main-l1-n2048-uniform-k1,47,paper,1804,True,3,244,4692,3,2.088134,863929.2305953545
main-l1-n2048-uniform-k1,47,profile,1804,True,3,244,4444,3,1.86529,967141.8385344907
main-l1-n2048-uniform-k1,71,accept_id,1792,True,3,256,4384,3,1.151022,1556877.279495961
main-l1-n2048-uniform-k1,71,accept_static_degree,1792,True,3,256,4432,3,1.321873,1355652.1693082466
main-l1-n2048-uniform-k1,71,adaptive,1792,True,3,256,4444,3,1.879712,953337.5325581791
main-l1-n2048-uniform-k1,71,graph,1792,True,3,256,4440,3,1.599899,1120070.7044632193
main-l1-n2048-uniform-k1,71,lazy,1792,True,3,256,4460,3,1.560756,1148161.5319755299
main-l1-n2048-uniform-k1,71,paper,1792,True,3,256,4592,3,2.175053,823887.9696264872
main-l1-n2048-uniform-k1,71,profile,1792,True,3,256,4376,3,1.890166,948064.8789577212
main-l1-n2048-uniform-k1,101,accept_id,1808,True,3,240,4312,3,1.157874,1561482.5101867733
main-l1-n2048-uniform-k1,101,accept_static_degree,1808,True,3,240,4464,3,1.319495,1370221.183104142
main-l1-n2048-uniform-k1,101,adaptive,1808,True,3,240,4360,3,1.848893,977882.4410065915
main-l1-n2048-uniform-k1,101,graph,1808,True,3,240,4444,3,1.602302,1128376.548241218
main-l1-n2048-uniform-k1,101,lazy,1808,True,3,240,4452,3,1.562294,1157272.5748162637
main-l1-n2048-uniform-k1,101,paper,1808,True,3,240,4680,3,2.111882,856108.4378767374
main-l1-n2048-uniform-k1,101,profile,1808,True,3,240,4512,3,1.858716,972714.4975348574
main-l1-n2048-zipf-k1,11,accept_id,931,True,3,1117,4188,3,1.108107,840171.571878889
main-l1-n2048-zipf-k1,11,accept_static_degree,931,True,3,1117,4184,3,1.313011,709057.2737014389
main-l1-n2048-zipf-k1,11,adaptive,931,True,3,1117,4512,3,2.772173,335837.6262953286
main-l1-n2048-zipf-k1,11,graph,931,True,3,1117,4720,3,8.480685,109778.86809850857
main-l1-n2048-zipf-k1,11,lazy,931,True,3,1117,4420,3,5.999586,155177.37390546614
main-l1-n2048-zipf-k1,11,paper,931,True,3,1117,5144,3,21.046941,44234.45668422789
main-l1-n2048-zipf-k1,11,profile,931,True,3,1117,4364,3,2.774785,335521.49085424637
main-l1-n2048-zipf-k1,29,accept_id,908,True,3,1140,4180,3,1.10127,824502.6197027069
main-l1-n2048-zipf-k1,29,accept_static_degree,908,True,3,1140,4196,3,1.312031,692056.8187794343
main-l1-n2048-zipf-k1,29,adaptive,908,True,3,1140,4448,3,2.828558,321011.6250046844
