condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.light_scans,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.normalize_ms,5,0.095941,0.094436,0.10483,0.095058,0.096443,0.0013849999999999973,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.profile_links,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.profiles,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.select_ms,5,0.001932,0.001788,0.004232,0.001879,0.00198,0.00010099999999999996,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.subsets,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.switch_ms,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.switch_queries,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.switch_remaining,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.switch_round,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.switches,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.total_ms,5,0.145844,0.142576,0.156553,0.143046,0.152339,0.009292999999999996,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.tree_updates,5,12,8,36,8.0,12.0,4.0,5
