condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,status,count,expected_repetitions
worst-l2-n16384-identical-w1-k1,worst,2,16384,identical,1,1,10000,False,native,ok,5,5
worst-l2-n16384-identical-w1-k1,worst,2,16384,identical,1,1,10000,False,profile,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,adaptive,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,lazy,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,profile,ok,5,5
worst-l2-n4096-identical-w1-k1,worst,2,4096,identical,1,1,10000,False,adaptive,ok,5,5
worst-l2-n4096-identical-w1-k1,worst,2,4096,identical,1,1,10000,False,graph,ok,5,5
worst-l2-n4096-identical-w1-k1,worst,2,4096,identical,1,1,10000,False,lazy,ok,5,5
worst-l2-n4096-identical-w1-k1,worst,2,4096,identical,1,1,10000,False,native,ok,5,5
worst-l2-n4096-identical-w1-k1,worst,2,4096,identical,1,1,10000,False,profile,ok,5,5
worst-l4-n1024-identical-w1-k1,worst,4,1024,identical,1,1,10000,False,adaptive,ok,5,5
worst-l4-n1024-identical-w1-k1,worst,4,1024,identical,1,1,10000,False,graph,ok,5,5
worst-l4-n1024-identical-w1-k1,worst,4,1024,identical,1,1,10000,False,lazy,ok,5,5
worst-l4-n1024-identical-w1-k1,worst,4,1024,identical,1,1,10000,False,native,ok,5,5
worst-l4-n1024-identical-w1-k1,worst,4,1024,identical,1,1,10000,False,profile,ok,5,5
worst-l4-n16384-identical-w1-k1,worst,4,16384,identical,1,1,10000,False,adaptive,ok,5,5
worst-l4-n16384-identical-w1-k1,worst,4,16384,identical,1,1,10000,False,graph,ok,5,5
worst-l4-n16384-identical-w1-k1,worst,4,16384,identical,1,1,10000,False,lazy,ok,5,5
worst-l4-n16384-identical-w1-k1,worst,4,16384,identical,1,1,10000,False,native,ok,5,5
worst-l4-n16384-identical-w1-k1,worst,4,16384,identical,1,1,10000,False,profile,ok,5,5
worst-l4-n256-identical-w1-k1,worst,4,256,identical,1,1,10000,False,adaptive,ok,5,5
worst-l4-n256-identical-w1-k1,worst,4,256,identical,1,1,10000,False,graph,ok,5,5
worst-l4-n256-identical-w1-k1,worst,4,256,identical,1,1,10000,False,lazy,ok,5,5
worst-l4-n256-identical-w1-k1,worst,4,256,identical,1,1,10000,False,native,ok,5,5
worst-l4-n256-identical-w1-k1,worst,4,256,identical,1,1,10000,False,profile,ok,5,5
worst-l4-n4096-identical-w1-k1,worst,4,4096,identical,1,1,10000,False,adaptive,ok,5,5
worst-l4-n4096-identical-w1-k1,worst,4,4096,identical,1,1,10000,False,graph,ok,5,5
worst-l4-n4096-identical-w1-k1,worst,4,4096,identical,1,1,10000,False,lazy,ok,5,5
worst-l4-n4096-identical-w1-k1,worst,4,4096,identical,1,1,10000,False,native,ok,5,5
worst-l4-n4096-identical-w1-k1,worst,4,4096,identical,1,1,10000,False,profile,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,adaptive,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,lazy,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,profile,ok,5,5
