condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
constant-l4-n2048-uniform-w1-k2,constant,4,2048,uniform,1,2,10000,True,graph,lazy,selector_ms,5,0.34369328986304354,0.33846627904162374,0.3479782733769773,0.3388859366299842,0.34572537615967175,0.006839439529687574,5
constant-l4-n2048-uniform-w1-k2,constant,4,2048,uniform,1,2,10000,True,graph,profile,selector_ms,5,0.30725931773992343,0.3040468458003184,0.31192270307498365,0.30655405084559784,0.3078052808973222,0.001251230051724339,5
constant-l6-n2048-uniform-w1-k2,constant,6,2048,uniform,1,2,10000,True,graph,adaptive,selector_ms,5,0.11731078976800856,0.11681675043575629,0.1177587394174482,0.11692067783106487,0.11734876249746293,0.000428084666398057,5
constant-l6-n2048-uniform-w1-k2,constant,6,2048,uniform,1,2,10000,True,graph,lazy,selector_ms,5,0.1167079844720322,0.11460621262567731,0.11714447682022364,0.11628940842247619,0.11697835338247704,0.0006889449600008535,5
constant-l6-n2048-uniform-w1-k2,constant,6,2048,uniform,1,2,10000,True,graph,profile,selector_ms,5,0.1109230211367864,0.11031385729618583,0.11231443631376527,0.11037492516397852,0.11193171508276138,0.0015567899187828582,5
constant-l8-n2048-uniform-w1-k2,constant,8,2048,uniform,1,2,10000,True,graph,adaptive,selector_ms,5,0.0307394629261334,0.030010787902284265,0.030758000987777454,0.030487518358589916,0.030741519246992224,0.00025400088840230733,5
constant-l8-n2048-uniform-w1-k2,constant,8,2048,uniform,1,2,10000,True,graph,lazy,selector_ms,5,0.030563737680152785,0.030365707863251348,0.0309093709604245,0.030562496725427924,0.03068141472916842,0.0001189180037404966,5
constant-l8-n2048-uniform-w1-k2,constant,8,2048,uniform,1,2,10000,True,graph,profile,selector_ms,5,0.030225008768854315,0.030024480973533236,0.03034245269178983,0.030139383496552333,0.03028045816923336,0.00014107467268102691,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,batch_ms,5,0.9831744450768355,0.9658194621670999,0.9981100827414994,0.9675294072691841,0.9956750525027727,0.028145645233588534,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,selector_ms,5,0.9846372312211555,0.9294217415977505,0.9928119415819103,0.9382404093360891,0.991809628486867,0.05356921915077795,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,batch_ms,5,1.0017704157424554,0.9832851142049023,1.0250147857411689,0.9928177483166086,1.0065952184666116,0.013777470150002968,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,selector_ms,5,0.9864699796415579,0.9630235686751352,1.0188127431509646,0.9834939440713083,1.0020485886736419,0.01855464460233358,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,batch_ms,5,0.9440580867401418,0.927186227718394,0.9620319447044972,0.9349903220942435,0.959310936160262,0.024320614066018487,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,selector_ms,5,0.8844419904252802,0.8696325109802822,0.9041528440941661,0.8730017192645046,0.9027371404487176,0.029735421184212907,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,batch_ms,5,1.0733303664600087,1.0356304947533967,1.1502997297249464,1.0713574823473933,1.1013796892800614,0.030022206932668105,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,selector_ms,5,1.096794236030981,1.0370085048687292,1.2189249945908678,1.0902119916820703,1.1488144735363524,0.058602481854282074,5
