condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,actual_arity,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,apply_worker_ms,5,0.032679,0.032249,0.033179,0.032465,0.033011,0.0005459999999999979,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,arity_max,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,arity_min,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,batch_ms,5,0.44876,0.444441,0.453193,0.445685,0.449827,0.004141999999999979,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,commit_count,5,503,499,504,501.0,503.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,commit_wall_ms,5,0.113231,0.112143,0.114343,0.112541,0.113405,0.0008640000000000037,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,commit_worker_ms,5,0.112087,0.11107,0.113132,0.11133,0.112221,0.0008910000000000029,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,dependency_worker_ms,5,0.02089,0.020507,0.02119,0.0207,0.020905,0.00020500000000000032,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,extract_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,initial_core_size,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,peak_rss_kib,5,8552,8468,8672,8532.0,8556.0,24.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,read_wall_ms,5,0.335287,0.33224,0.33871,0.333087,0.336529,0.0034420000000000006,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,read_worker_ms,5,0.333524,0.330486,0.336856,0.331253,0.334633,0.003379999999999994,5
