condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,seed,metric,status,ratio,baseline_ms,baseline_status,mode_ms,mode_status
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,11,batch_ms,ok,1.1484666803930519,20.537839,ok,17.882834,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,11,selector_ms,ok,1.2028145473159457,14.07045,ok,11.697938,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,11,batch_ms,ok,1.155853078654961,20.537839,ok,17.768555,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,graph,11,batch_ms,ok,0.3461375366707276,7.108917,ok,20.537839,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,lazy,11,batch_ms,ok,0.4807533761839341,7.108917,ok,14.787035,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,profile,11,batch_ms,ok,0.3975274276996588,7.108917,ok,17.882834,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,adaptive,11,batch_ms,ok,0.40008413739890497,7.108917,ok,17.768555,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,29,selector_ms,ok,1.6000156682692488,13.663417,ok,8.539552,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,29,batch_ms,ok,1.337313688025506,19.913783,ok,14.890884,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,29,selector_ms,ok,1.1866150812150402,13.663417,ok,11.514616,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,29,batch_ms,ok,1.1217634737575237,19.913783,ok,17.752212,ok
