condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
main-l2-n8192-zipf-w1-k2,main,2,8192,zipf,1,2,10000,False,native,lazy,batch_ms,5,0.10606956410611533,0.10450798417157034,0.10844899305455694,0.10493709896104948,0.10666968740518773,0.0017325884441382472,5
main-l2-n8192-zipf-w1-k2,main,2,8192,zipf,1,2,10000,False,native,profile,batch_ms,5,0.09826121896726205,0.09660341220119326,0.10257012646828341,0.09723675686562006,0.09872452370592041,0.0014877668403003586,5
scale-l2-n8192-zipf-w2-k2,scale,2,8192,zipf,2,2,10000,False,native,adaptive,batch_ms,5,0.07265964656591689,0.06854060625876487,0.07359147840303808,0.07225585809779664,0.0727816054111585,0.0005257473133618573,5
scale-l2-n8192-zipf-w2-k2,scale,2,8192,zipf,2,2,10000,False,native,graph,batch_ms,5,0.006662864257404233,0.0065098290684246505,0.006848674035210025,0.006637722524055706,0.0067775142372679415,0.00013979171321223515,5
scale-l2-n8192-zipf-w2-k2,scale,2,8192,zipf,2,2,10000,False,native,lazy,batch_ms,5,0.0725363179511842,0.06840630591421248,0.0737233405048801,0.07229365891068858,0.07336768148786219,0.0010740225771736084,5
scale-l2-n8192-zipf-w2-k2,scale,2,8192,zipf,2,2,10000,False,native,profile,batch_ms,5,0.06691888587605405,0.06590558741589207,0.06780741459982732,0.06635249397900958,0.06769690943151245,0.00134441545250287,5
scale-l2-n8192-zipf-w4-k2,scale,2,8192,zipf,4,2,10000,False,native,adaptive,batch_ms,5,0.04828371584851559,0.04597411070904346,0.05026279777877682,0.04749935833433273,0.049383304677553516,0.0018839463432207895,5
scale-l2-n8192-zipf-w4-k2,scale,2,8192,zipf,4,2,10000,False,native,graph,batch_ms,5,0.004426160896108114,0.004345835404634861,0.004464759502101686,0.00434790681792814,0.004453555076590428,0.00010564825866228849,5
scale-l2-n8192-zipf-w4-k2,scale,2,8192,zipf,4,2,10000,False,native,lazy,batch_ms,5,0.04818228106241008,0.04553823894813119,0.050541740660063596,0.04767399489133298,0.04940003501130022,0.0017260401199672426,5
scale-l2-n8192-zipf-w4-k2,scale,2,8192,zipf,4,2,10000,False,native,profile,batch_ms,5,0.044423070066689205,0.0432188959284274,0.046223018433326477,0.043975012673368716,0.04541983083402197,0.001444818160653255,5
worst-l2-n1024-identical-w1-k1,worst,2,1024,identical,1,1,10000,False,native,adaptive,batch_ms,5,0.12556259010119103,0.12490094136248121,0.12776839311235327,0.12547217140392944,0.12560871904306883,0.00013654763913939494,5
worst-l2-n1024-identical-w1-k1,worst,2,1024,identical,1,1,10000,False,native,graph,batch_ms,5,0.008722945890075212,0.008697877810339897,0.008866346844571292,0.008717531363677604,0.008734759882736424,1.7228519058819572e-05,5
worst-l2-n1024-identical-w1-k1,worst,2,1024,identical,1,1,10000,False,native,lazy,batch_ms,5,0.01313260995727225,0.013071686533270706,0.013385263925352405,0.013126338531352399,0.013140832287054987,1.4493755702588151e-05,5
worst-l2-n1024-identical-w1-k1,worst,2,1024,identical,1,1,10000,False,native,profile,batch_ms,5,0.299493459775978,0.2975219477886913,0.3028234446143356,0.2981481268554951,0.30062672727407436,0.00247860041857928,5
worst-l2-n16384-identical-w1-k1,worst,2,16384,identical,1,1,10000,False,native,adaptive,batch_ms,5,0.045389869746534174,0.04515446787968555,0.04665341531612189,0.04524349052401358,0.04583574821666805,0.0005922576926544673,5
